Regulator	Target	MI
Spi1	Lst1	1.9829879461094855
Spi1	Trib2	1.5671328879200566
Spi1	Dcstamp	1.8041626689636443
Spi1	Ctla2a	1.888137914708433
Spi1	Gm8013	1.8192406552620684
Spi1	Gm13857	1.5935358445631245
Spi1	Fcgr3	1.8440802142769517
Spi1	Il33	1.7380416742376283
Spi1	Il10ra	1.9388631377812038
Spi1	Dlgap5	1.57520920783496
Spi1	Lrrc25	1.9533982089136686
Spi1	Tm6sf1	2.1537195563745044
Spi1	Atp8b4	2.1611017572143068
Spi1	Gm40645	1.7423848030578677
Spi1	E330020D12Rik	2.1801061799643247
Spi1	Pilrb1	2.2380380477307495
Spi1	Pilrb2	2.030773637489313
Spi1	Siglec1	2.085212072972869
Spi1	Bard1	1.5195992181250038
Spi1	Siglece	2.068945776852984
Spi1	Clec4a1	1.728784544328339
Spi1	Clec4a3	2.217051070863545
Spi1	Snx20	1.8534124046206655
Spi1	Mmp13	1.9000274410059435
Spi1	Akr1c6	1.4783020009252912
Spi1	P2ry10	1.9476854975615323
Spi1	Tgtp2	1.9006790510038396
Spi1	Ifi209	2.328636525495462
Spi1	Ifi207	2.335583072567998
Spi1	Ndc80	1.4982164283928245
Spi1	Il1rl2	1.772059416994849
Spi1	Lcp1	2.1073043973386474
Spi1	Pi15	1.5821145162261034
Spi1	Gm2245	1.9756217867972499
Spi1	Gm12688	1.824578362438678
Spi1	Pcdha1	1.5416945573754166
Spi1	Neil3	1.5183259689022437
Spi1	Lilrb4a	2.176788584460316
Spi1	Msr1	2.2667575501413646
Spi1	Crhr2	1.6060183419471166
Spi1	Cd300a	2.074731584253044
Spi1	Adgrl4	1.902924351380178
Spi1	Kif4	1.507407086378488
Spi1	Hist1h2ab	1.7100281882136557
Spi1	Hist1h2ad	1.7529787137774857
Spi1	Hist1h2ap	1.5555665026525336
Spi1	Hist1h2ai	1.7572306701051206
Spi1	Hist1h2ah	1.8266246065466305
Spi1	Hist1h2an	1.8176868769634007
Spi1	Ets2	1.6338320900971883
Spi1	Ect2	1.7516203918179816
Spi1	Clspn	1.5805703469441994
Spi1	Grm4	1.4340862416462201
Spi1	Kif20b	1.519559992972761
Spi1	Lancl3	1.748025279232965
Spi1	Spats2l	1.6355545850892055
Nrk	Pcnx2	1.2175355298264297
Nrk	Gm20754	1.2199353817770442
Nrk	A1cf	1.2392680185221598
Nrk	Ccl19	1.6328969764129306
Nrk	Ngf	1.3298731510575363
Nrk	Plekhg2	1.2081601934049981
Nrk	Bcl2a1b	1.3492237790881516
Nrk	C8a	1.0923343696650285
Nrk	Gxylt2	1.241747393327186
Nrk	Cacna1e	1.2744857068943523
Nrk	Lama3	1.2930497455227057
Nrk	Sema4g	1.2296147046116221
Nrk	Hamp	1.580172963919221
Nrk	Mypn	1.412280219679432
Nrk	F930017D23Rik	1.111061177234018
Nrk	Myoz1	1.4464026289499232
Nrk	Stab2	1.954234794274357
Nrk	Adra1b	1.057649317422789
Nrk	Igfbp1	1.240684938058548
Nrk	Rhag	1.1887536943210328
Nrk	Gprin3	1.0879101686866584
Nrk	Cers6	1.1313984440029188
Nrk	Klf5	1.4937643769677624
Nrk	Dcstamp	1.358603942212354
Nrk	Plagl1	1.3011630737076345
Nrk	Ltf	1.5341879548776394
Nrk	Pde6c	1.2071354256760545
Nrk	Slc15a2	1.3782368694626213
Nrk	5430431A17Rik	1.1815006363371587
Nrk	Hbb-bt	1.6678508331425794
Nrk	Sparcl1	1.0971025312638103
Nrk	Nt5e	1.6166372360663424
Nrk	Ccdc80	1.3452367225241169
Nrk	Egf	1.2709436905447413
Nr1i3	Pdzk1	2.3583446307692792
Nr1i3	Abcc6	1.778626912357418
Nr1i3	Ccdc18	1.629328582364189
Nr1i3	Afm	2.4150506868332857
Nr1i3	Afp	2.454732672016183
Nr1i3	Ripply3	2.2392412962905293
Nr1i3	Pvalb	2.3297214772338437
Nr1i3	Mylk2	2.441044565384338
Nr1i3	Kng1	1.3686778874814074
Nr1i3	Neb	1.1567819783166327
Nr1i3	Ftcd	1.6881027189558635
Nr1i3	Itih2	2.375857403845293
Nr1i3	Itih1	2.453641910854684
Nr1i3	Aqp9	2.135151685110909
Nr1i3	Cyp3a16	2.4910369180334238
Nr1i3	Glt1d1	2.131203971902477
Nr1i3	C8a	1.3876173788773372
Nr1i3	Gm13629	2.1881269048378744
Nr1i3	Cacna1e	2.145459654102682
Nr1i3	Gm12394	1.0726426538684262
Nr1i3	Vwce	2.3564112123208165
Nr1i3	Ppfibp2	2.1128416997007102
Nr1i3	Cyp2d37-ps	2.13170994313971
Nr1i3	Hmgcs2	1.2496631937023128
Nr1i3	Cyp3a44	2.44509506244962
Nr1i3	Cacng4	1.4847622605781048
Nr1i3	Rxfp1	2.534314154782865
Nr1i3	Myh7b	2.153148907091909
Nr1i3	Hao1	1.6356512088516322
Nr1i3	Lilra5	1.409720576460229
Nr1i3	Myom2	2.319538572629525
Nr1i3	Slc17a3	2.483109543571494
Nr1i3	Gm32461	1.506837082518011
Nr1i3	Cpb2	2.46795438757713
Nr1i3	Ces3a	2.272336934357357
Nr1i3	0610040J01Rik	2.208082753443807
Nr1i3	Scnn1b	2.1295340499591138
Nr1i3	Serpinc1	2.512335381363129
Nr1i3	A830018L16Rik	2.2996859030101757
Nr1i3	Art1	2.3336700433437016
Nr1i3	Acsl5	1.9416696748546585
Nr1i3	Otc	1.7034590916300871
Nr1i3	Gckr	1.7301276000022305
Nr1i3	Ppp1r3a	2.3111461980332066
Nr1i3	Abcg5	2.346336198872259
Nr1i3	Cyp2d38-ps	1.910191608923581
Nr1i3	Igfbp2	2.3935236666331843
Nr1i3	Igfbp1	2.5400715820509876
Nr1i3	Igf2bp3	2.2382054633790185
Nr1i3	Fxyd2	2.5084493159065726
Nr1i3	Gli2	2.2720276657189085
Nr1i3	F2	2.228753945052149
Nr1i3	F5	2.31856629354364
Nr1i3	Cyp2d26	1.375543656114214
Nr1i3	Kl	2.324088207225657
Nr1i3	Itgb6	2.4428161888836577
Nr1i3	Crp	1.6884641150319597
