Regulator	Target	MI
Spi1	Bcl2a1d	1.8677682917574643
Spi1	Knl1	1.6824115982713819
Spi1	Mndal	2.1656440093363187
Spi1	Kif18a	1.741652971376488
Spi1	Parpbp	1.828113225151471
Spi1	Ptpro	2.0033713665091746
Spi1	Vav1	2.080106926901263
Spi1	Top2a	1.5555066551529233
Spi1	Tlr7	2.3499283564136624
Spi1	Cd33	2.129894226105626
Spi1	Gm47847	1.9075191418519148
Spi1	Cd48	2.308567063759124
Spi1	Fcer2a	1.7073535559110873
Spi1	Srgn	2.148928310619297
Spi1	Nxph1	1.6549146241241885
Spi1	Scimp	2.3328238185363834
Spi1	Mastl	1.7274562409947993
Spi1	Gm8237	1.820624045856949
Spi1	Aim2	1.848780923964494
Spi1	Bub1	1.652961687188717
Spi1	Sult3a1	1.6622324131566328
Spi1	Lockd	1.6740011583166172
Spi1	Srms	2.0761119178682597
Spi1	Ms4a8a	2.0820582700632118
Spi1	Depdc1a	1.7503382988768497
Spi1	Lilra5	2.2932148220987707
Spi1	Cd300c2	2.4305262920180386
Spi1	Ms4a6b	2.4315407992509965
Spi1	Ms4a6c	2.39961865159727
Spi1	Ms4a6d	2.2591706633458664
Spi1	Ncf4	2.3864213456823085
Spi1	Ms4a4a	2.555328811340766
Spi1	Nusap1	1.6243695455749414
Spi1	Rgcc	1.6784775936726373
Spi1	Upp1	2.059890925067106
Spi1	Irx3os	1.872702387871084
Spi1	Fyb	2.3437881431241743
Spi1	Efr3b	1.7106159091333915
Spi1	Prc1	1.794060169275574
Spi1	Vsig2	1.7143034919102442
Spi1	Spag6l	1.804484885194884
Spi1	Mis18bp1	1.5807301265321803
Spi1	Ifi47	1.7772495409400904
Spi1	B3gnt5	1.975222832786029
Spi1	Ctss	1.9457771308492386
Spi1	Kif14	1.7508570291082437
Spi1	Kif11	1.67119824677488
Spi1	Runx3	2.1593051953758327
Spi1	Rgs1	2.1533230799033065
Spi1	H2-Ea-ps	2.013671079829291
Spi1	Ifi203-ps	1.9467527955343575
Spi1	Gm35154	2.2052708955358726
Spi1	Clec4n	2.0598420517508025
Spi1	Slfn2	1.7658183583162232
Spi1	9930111J21Rik1	1.7689398235979041
Spi1	Unc45b	1.7995624530516832
Spi1	1700042O10Rik	1.6831051728664042
Spi1	Gm1966	2.470119286455552
Spi1	Gm5431	1.7689388601593796
Spi1	Selplg	1.9598241744334786
Spi1	Clec9a	1.7928337439221682
Spi1	Kcna2	2.055266901365683
Spi1	Clec7a	2.1922602119709973
Spi1	Gm8995	2.2733293011444218
Spi1	Cdca2	1.595693037396778
Spi1	Pik3r6	1.9983829922249168
Spi1	Olfr111	2.0175302485524833
Spi1	Cenpp	1.639736888428585
Spi1	Cenpf	1.6292758895363315
Spi1	Egln3	1.7769352713954447
Spi1	Olfr933	1.8434050279721497
Spi1	Mir142hg	2.124094479374273
Spi1	Ermap	1.7829417911366834
Spi1	Ly6a	2.0618241409135933
Spi1	Col28a1	1.8133152901930547
Spi1	Esco2	1.6824785370870607
Spi1	Ttk	1.8159376197990351
Spi1	H2-DMb1	2.1820698410413737
Spi1	Nkx2-2	1.6448119914601138
Spi1	Trib2	1.8233348337188229
Spi1	Dcstamp	1.7283386305410877
Spi1	Oas1a	1.7328309294329474
Spi1	Ctla2a	1.9271751981474257
Spi1	Gm8013	1.9060574211883932
Spi1	Tg	1.7916680546254629
Spi1	Gm13857	1.7485068935252093
Spi1	Il10ra	2.0048831757565466
Spi1	Tm6sf1	1.9887919204621953
Spi1	Atp8b4	2.237341451088169
Spi1	Gm40645	1.7688140714433738
Spi1	Cntn1	1.5558499991447734
Spi1	Cxcl16	1.7389657882200789
Spi1	E330020D12Rik	1.9744634073330456
Spi1	Pilrb1	2.2966783647429927
Spi1	Pilrb2	2.2300111729253183
Spi1	Siglec1	2.0983048287577253
Spi1	Pkib	1.8068588047408083
Spi1	Siglece	2.1242270539119508
Spi1	Clec4a3	2.162140237171653
Spi1	Mmp13	1.900327637454109
Spi1	Gm3164	1.8038712094877951
Spi1	P2ry10	1.9341451280347641
Spi1	Tgtp2	2.119211499421537
Spi1	Ifi209	2.3086234925488696
Spi1	Ifi207	2.402627943323598
Spi1	Ifi206	2.103589455219862
Spi1	Ndc80	1.568671635821107
Spi1	Il1rl2	1.8876821600884712
Spi1	Lcp1	2.0815296792576516
Spi1	C130050O18Rik	1.815001358595402
Spi1	Nlrc4	2.1405840205789914
Spi1	Gm12688	1.8671075337508105
Spi1	B130024G19Rik	1.5994249846569302
Spi1	Lair1	2.459969105936475
Spi1	Lilrb4a	2.404910742204643
Spi1	Msr1	2.2370966601392586
Spi1	Adgrl4	1.8505159793063521
Spi1	Hist1h2ab	1.7925575753287193
Spi1	Hist1h2ae	1.7376911890858135
Spi1	Hist1h2ad	1.847375157635959
Spi1	Hist1h2ai	1.9051955706913688
Spi1	Hist1h2ah	1.9538248011114794
Spi1	Hist1h2an	1.831941191132576
Spi1	Ets2	1.5891414197589357
Spi1	Clspn	1.6688174831598772
Spi1	Grm4	1.5539271664863872
Spi1	Lancl3	1.6850199581484002
Spi1	Ccdc68	1.7247174655159396
Nrk	Gm3002	1.336235928431992
Nrk	Gm20754	1.1219873726763003
Nrk	Fgf13	1.4930946604377953
Nrk	Ccl19	1.649125828143247
Nrk	Gm2564	1.579309883960792
Nrk	Mlip	1.4258541454565528
Nrk	Ntm	1.4040470414027109
Nrk	Gm9989	1.5520309867670958
Nrk	S1pr3	1.5785664267214141
Nrk	Hamp	1.7869799799130917
Nrk	Ucp2	1.288795000012306
Nrk	Agbl1	1.428910463098978
Nrk	Mypn	1.430534412652742
Nrk	Slc44a5	1.355503981229755
Nrk	Ccn2	1.459191926808204
Nrk	F930017D23Rik	1.1160349921732102
Nrk	Myoz1	1.549910514358082
Nrk	Art1	1.4851250488981318
Nrk	A730056A06Rik	1.4853213913922039
Nrk	Gm35533	1.5185555512056483
Nrk	Stab2	1.823948070078787
Nrk	Fut9	1.4586891611699606
Nrk	Kcnh8	1.3467718466368286
Nrk	Tc2n	1.548159631177903
Nrk	Klf5	1.4834445528925402
Nrk	Plagl1	1.4322801364346418
Nrk	Gm12159	1.4914693440041278
Nrk	Ltf	1.494282591442392
Nrk	Hbb-bt	1.6152075141497093
Nrk	Azgp1	1.1552264651782043
Nrk	Meox2	1.155266250152236
Nrk	Hist1h2ap	1.4332340752215815
Nrk	Nt5e	1.662025517661296
Nrk	Shroom3	1.2505019429209634
Nr1i3	Abcc6	1.6920502531969275
Nr1i3	Fgf14	1.6269140949722267
Nr1i3	Fam169b	1.333012036933365
Nr1i3	Gm28653	2.323681198627305
Nr1i3	Afm	2.349681061103074
Nr1i3	Afp	2.3250288857569084
Nr1i3	Mylk2	2.23325423923711
Nr1i3	Kng1	1.4413829498062256
Nr1i3	Neb	1.4797360404733402
Nr1i3	Ftcd	1.7931126778640536
Nr1i3	Itih4	2.0997907285448854
Nr1i3	Itih1	2.43365816914904
Nr1i3	Mki67	1.408051028220675
Nr1i3	Aqp9	2.118848337801075
Nr1i3	Timd4	1.7293027375906078
Nr1i3	Cyp3a16	2.4648590723593835
Nr1i3	C8b	2.3199079000173466
Nr1i3	C8a	1.5217807862489936
Nr1i3	Txlng	1.376959226085594
Nr1i3	Slc7a2	1.4328549556479766
Nr1i3	Cacna1e	2.17823629063772
Nr1i3	Vwce	2.269479371185111
Nr1i3	Ppfibp2	2.025763320980989
Nr1i3	Vwc2l	2.175261075945106
Nr1i3	Cyp2d37-ps	2.2724480349593033
Nr1i3	Cyp3a44	2.3901095270279353
Nr1i3	Acox2	1.9555642677922078
Nr1i3	Rxfp1	2.392784464308357
Nr1i3	Mug2	1.7904494555932393
