TF	target	importance
Rarg	Apbb2	81.04513502491653
Thrb	Inpp4b	80.84691379862761
Elf2	Zfand5	80.78517127885725
Rarg	Hecw2	80.77403758925752
Thrb	Fgd4	80.62234880351134
Thrb	Khdrbs1	80.52856198512391
Elf2	Cpe	80.20984643269753
Elf2	Senp6	80.14280204957458
Elf2	Fyn	80.0452361871017
Elf2	Chst11	79.93946310717646
Thrb	Olfr455	79.84554213348952
Elf2	Clk1	79.65533345057779
Vdr	Rab3c	79.54851930282979
Thrb	Rabggtb	79.53024160767615
Vdr	Pcdh15	79.52971607383924
Vdr	Ctnnd2	79.52136084169133
Thrb	Dnajc1	79.47189109339588
Thrb	Jmy	79.42769251618665
Rarg	Rapgef5	79.38863222944367
Thrb	Mbd2	79.33947858304471
Vdr	Cacna1a	79.2952961276047
Thrb	Slc24a3	79.27346661385974
Thrb	Dalrd3	79.26698780232608
Thrb	Cdc37l1	79.23718146564599
Rarg	Mertk	79.23483103255649
Elf2	Uvrag	79.18996957959047
Rxrg	Hk2	79.18929469958063
Elf2	Son	79.1507174739091
Elf2	Greb1	78.98745688011046
Thrb	Tbc1d30	78.92881755804129
Vdr	Cntnap5a	78.91978674221906
Elf2	Stag1	78.83398075294271
Thrb	Arhgap42	78.55440781109331
Thrb	Rufy3	78.13789874389609
Rarg	Inpp4b	78.04240599951122
Elf2	Large1	77.99987430786858
Thrb	Psmg2	77.81838650271644
Thrb	Naip5	77.7936071622613
Thrb	Ccdc58	77.7731990350629
Thrb	Vps72	77.28045784066282
Thrb	Plcb1	77.18917439610733
Thrb	Gatad2a	77.12669297060394
Elf2	Zfp148	76.9333451118535
Elf2	Cdc73	76.88430399056229
Elf2	Fbxw11	76.76448649636023
Elf2	Fbxl7	76.6392971743613
Nr2f1	Tmem56	76.50347388615303
Thrb	Dnah7a	76.49676929921817
Thrb	Acin1	76.46241766740923
Elf2	Galnt18	76.3577427708286
Thrb	Cdc73	76.31336281342706
Elf2	Ralgps2	76.25280846581708
Thrb	Fads6	76.18006259661476
Thrb	Prpf39	76.172900989203
Thrb	Tlk2	76.13005483939054
Vdr	Dlgap3	75.95422095078013
Thrb	Ern1	75.87663140290883
Thrb	Dennd1a	75.87150252527044
Thrb	Trip12	75.83686864988725
Thrb	Fam117b	75.383991121128
Thrb	Osbpl6	75.36248936502433
Elf2	Svil	75.32970177627351
Thrb	6720427I07Rik	75.31372373506693
Thrb	Sipa1l1	75.12061480723995
Elf2	Nipbl	75.1025307364991
Thrb	Dhcr24	74.94950470560374
Thrb	Stat5a	74.93439227186778
Elf2	Trerf1	74.88195719815505
Thrb	Kdm3b	74.65351248573326
Elf2	Kcnk9	74.59700276875209
