Regulator	Target	MI
Spi1	Ttk	1.643902700767228
Spi1	Aspm	1.6868059603247785
Spi1	Kcnk6	1.6778726726658446
Spi1	H2-DMb1	1.9880090299302475
Spi1	Trib2	1.6532148340791526
Spi1	Dcstamp	1.7551870052207637
Spi1	Oas1a	1.5959498228864106
Spi1	Ctla2a	1.7804726990180857
Spi1	Gm8013	1.8349123810833525
Spi1	Lilr4b	1.9836355103378587
Spi1	Rhoh	1.8530741434269418
Spi1	Tg	1.7616677622566295
Spi1	Gm13857	1.6362146424573876
Spi1	Fcgr3	1.712776153514274
Spi1	Gm4951	1.6122266565166612
Spi1	Lrrc25	2.076701946825361
Spi1	Tjp2	1.4229408795393645
Spi1	Tm6sf1	1.8052550294796603
Spi1	Atp8b4	2.136412814414384
Spi1	Gm40645	1.717743466764718
Spi1	Wdfy4	1.8500891269004525
Spi1	Slc6a20a	1.625964563790208
Spi1	Cxcl16	1.6804508864544037
Spi1	E330020D12Rik	2.1121317406679125
Spi1	Pilrb1	2.151215973197007
Spi1	Pilrb2	2.146864323919898
Spi1	Isl1	1.564943031790789
Spi1	Pkib	1.741613976866712
Spi1	Tbc1d1	1.5865369952314987
Spi1	Siglece	1.875239570261935
Spi1	Clec4a3	2.182475007097409
Spi1	Mmp13	1.8762698664641428
Spi1	Clec4b2	1.871710259722338
Spi1	Gm3164	1.8302457754009378
Spi1	P2ry10	2.01072500262232
Spi1	Tgtp2	1.9971811673735065
Spi1	Ifi209	2.236621585952803
Spi1	Ifi207	2.2558012129840086
Spi1	Ifi206	1.8283457056223895
Spi1	Il1rl2	1.8139125492848915
Spi1	Lcp1	2.078246752799842
Spi1	Myo1f	1.7960053675811674
Spi1	Gzmk	2.0043036123430085
Spi1	C130050O18Rik	1.7986362019590718
Spi1	Gm2245	2.0523841962810954
Spi1	Gm12688	1.7435745416980808
Spi1	Lilrb4a	2.2253791750963234
Spi1	Msr1	2.23876547752952
Spi1	Crhr2	1.5709714525589025
Spi1	Cd300a	2.0708010553983245
Spi1	Adgrl4	1.9144527173068084
Spi1	Hist1h2ab	1.6624448199122392
Spi1	Hist1h2ae	1.576085624809517
Spi1	Hist1h2ad	1.7954641837361267
Spi1	Hist1h2ap	1.5767334902223737
Spi1	Hist1h2ai	1.7822043400270857
Spi1	Hist1h2ah	1.7840044985061496
Spi1	Hist1h2an	1.6759263005986993
Spi1	Pld1	1.6049282191851875
Spi1	Ect2	1.749104200004588
Spi1	Clspn	1.6075287241765768
Spi1	Grm4	1.4330625241774104
Spi1	Lancl3	1.651962740974211
Spi1	Spats2l	1.634360886674318
Spi1	Ccdc68	1.688528709185979
Nrk	Cadm3	1.1872622471446572
Nrk	Gm20754	1.127411769041081
Nrk	Mylk4	1.1706187062464215
Nrk	Cacna1e	1.299895928570069
Nrk	Lama3	1.3042241281045612
Nrk	Sema4g	1.1892502778734713
Nrk	Mypn	1.5162514109822611
Nrk	Tecrl	1.396077769712349
Nrk	F930017D23Rik	1.0976246172048247
Nrk	Myoz1	1.3853574676474523
Nrk	Art1	1.6013977857360748
Nrk	Stab2	1.934004475136688
Nrk	Kcnh8	1.3096527898333097
Nrk	Cers6	1.2086495885014132
Nrk	Klf5	1.7080201523327956
Nrk	Plagl1	1.323249595346189
Nrk	Aox1	1.1919125598827858
Nrk	Ltf	1.548205442622618
Nrk	Hbb-bt	1.6505186380679557
Nrk	Sparcl1	1.0655252549883407
Nrk	Nt5e	1.773440447899861
Nr1i3	Pdzk1	2.2723910834457772
Nr1i3	Cadm3	2.223158804244514
Nr1i3	Abca6	1.3158148939740189
Nr1i3	Fgf14	1.4641836511594706
Nr1i3	Gm28653	2.415799394266643
Nr1i3	Afm	2.446068373522894
Nr1i3	Afp	2.384103887913181
Nr1i3	Serpina3m	2.363427529847027
Nr1i3	Inpp5d	1.3846371727157898
Nr1i3	Kng1	1.4497864465654544
Nr1i3	Pdgfrb	1.41141269368529
Nr1i3	Pdlim3	1.7511348024924471
Nr1i3	Gm2115	1.234401697996626
Nr1i3	Rhobtb1	1.9580655377173342
Nr1i3	Atp1b4	2.234538613166059
Nr1i3	Ftcd	1.7136060489735954
Nr1i3	Itih2	2.310443612866035
Nr1i3	Itih1	2.459525005937527
Nr1i3	Mki67	1.463052583911006
Nr1i3	Cyp3a16	2.3639098712303994
Nr1i3	C8a	1.3716970629828493
Nr1i3	Cacna1s	2.3156275833944995
Nr1i3	Vwce	2.3033060324117494
Nr1i3	Ppfibp2	2.0916837282277543
Nr1i3	Hmgcs2	1.2408980282937785
Nr1i3	Cyp3a44	2.26178626212776
Nr1i3	B230334C09Rik	2.1423973046044376
Nr1i3	Cacng4	1.517499870235242
Nr1i3	Acox2	1.9593072438568102
Nr1i3	Rxfp1	2.4332546754972086
Nr1i3	Mug2	1.9451622519867238
Nr1i3	Hao1	1.7292754735543907
Nr1i3	Ptchd1	1.4301680174872873
Nr1i3	Myot	2.046135067963509
Nr1i3	Slc17a1	2.1775636053100262
Nr1i3	Gm32461	1.6168597402330116
Nr1i3	Myt1	1.8678514465041154
Nr1i3	Flt1	1.4117892050441334
Nr1i3	Ces3a	2.267255187125153
Nr1i3	Slc13a3	1.4403927271274162
Nr1i3	Serpinc1	2.586484379710063
Nr1i3	A830018L16Rik	2.1152684601819693
Nr1i3	Col18a1	1.9045523628352274
Nr1i3	Slc22a1	2.2596617102461876
Nr1i3	Sparc	0.7350182072716924
Nr1i3	Hnf4a	2.207546381535015
Nr1i3	Gal	2.146449212755141
Nr1i3	Otc	1.8735065420114676
Nr1i3	Rgs7	1.206192640398064
Nr1i3	Gckr	1.7234870972423666
Nr1i3	Ppp1r3a	2.28666173565117
Nr1i3	Sult2a8	1.7979032883883512
Nr1i3	Abcg5	2.283510378053556
Nr1i3	Notch3	1.320760897619949
Nr1i3	Cyp2d38-ps	1.8858451273275882
Nr1i3	Igfbp2	2.406074752185126
Nr1i3	Igfbp1	2.3228969734448928
Nr1i3	Igf2bp3	2.1886979658992782
Nr1i3	Fxyd2	2.453219615659821
Nr1i3	Gli2	2.2512872851593926
Nr1i3	Pax3	2.086673610302941
Nr1i3	Ckm	2.0942729791597996
Nr1i3	Kcnc2	1.376587710270492
Nr1i3	Atad2	1.356134270638094
Nr1i3	Kl	2.3885303398648823
Nr1i3	Grid1	1.3216204886288976
Nr1i3	Crp	1.9248083894987076
Nr1i3	Aspm	1.4971064311692768
Nr1i3	Cyp3a63-ps	2.395802510587972
Nr1i3	Ass1	1.6763200893776542
Nr1i3	Pkhd1	2.2571383203993753
Nr1i3	Kcnu1	2.5335970823317533
Nr1i3	9630013A20Rik	1.4883994792324717
Nr1i3	Gm4952	1.7947741954449672
Nr1i3	Actn2	2.362168179348932
Nr1i3	Actn3	2.389143564003692
Nr1i3	Ncapg2	1.4956578115001298
Nr1i3	Dlgap3	1.9662663686492037
Nr1i3	9530036O11Rik	1.9271977958430213
Nr1i3	Hgd	1.9994014611529627
Nr1i3	Pde6c	2.469137868955131
Nr1i3	Hecw1	2.115737632952402
Nr1i3	Thsd4	1.2737517943320054
Nr1i3	Jag1	1.9973322507784754
Nr1i3	Immp2l	0.8015636657969756
Nr1i3	5830473C10Rik	2.715115590674064
Nr1i3	Hrg	2.37277139022788
Nr1i3	Prodh2	2.5636779319274026
Nr1i3	Atcayos	2.37682212071345
Nr1i3	Pklr	2.5485445719704556
Nr1i3	Dpys	2.1744321315672774
Nr1i3	F11	1.396456458290091
Nr1i3	Nctc1	2.277550803080639
Nr1i3	5430431A17Rik	2.3925441308207507
Nr1i3	Fras1	1.9155376828336594
Nr1i3	Peg10	1.4165413482329505
Nr1i3	Apoa1	1.662225590957946
Nr1i3	Bhmt2	2.0090794481488325
Nr1i3	Slc6a6	0.9081075866914103
Nr1i3	Srrm4	1.9882175116082994
