Regulator	Target	MI
Spi1	Efr3b	1.6113097661460554
Spi1	Prc1	1.4904294114757493
Spi1	Grin2a	1.3758331787640516
Spi1	Ccr1	1.860099655295028
Spi1	Mis18bp1	1.4698995963237191
Spi1	Ifi47	1.8092698122070434
Spi1	B3gnt5	1.7079369273526934
Spi1	Ctss	1.946584683366674
Spi1	Kif14	1.5310368411914457
Spi1	Gm12877	1.5678826322690425
Spi1	Kif23	1.597028217362121
Spi1	Runx3	2.0707852186359306
Spi1	Stap1	1.9845079087967497
Spi1	Rgs1	1.896196894587587
Spi1	Slc8a1	1.5515531270113154
Spi1	H2-Ea-ps	1.9692285089275803
Spi1	Podxl	1.9007014357271945
Spi1	Clec4n	2.0285064737398883
Spi1	Unc45b	1.614472337579028
Spi1	Ckap2	1.420936716128935
Spi1	1700042O10Rik	1.6460275452481232
Spi1	Gm1966	2.17517491543295
Spi1	Hcrtr2	1.478125195368615
Spi1	Gm5431	1.646503790695932
Spi1	Selplg	1.8865058655283269
Spi1	Clec9a	1.56916945254088
Spi1	9330159F19Rik	1.4781490966622908
Spi1	Clec7a	2.023571855831232
Spi1	Sox11	1.4558175797791613
Spi1	Gm8995	2.1068323415171273
Spi1	Chst7	1.6116877606207973
Spi1	Olfr111	1.7649848740657594
Spi1	Kcnh7	1.5672669530367003
Spi1	Egln3	1.693085853922792
Spi1	Olfr933	1.7075346022088853
Spi1	Ly86	1.967681003052503
Spi1	Col28a1	1.7116860889423036
Spi1	Ttk	1.7894001104882316
Spi1	Kcnk6	1.5277500947172173
Spi1	H2-DMb1	2.147920643845011
Spi1	Trib2	1.4753683789144016
Spi1	Dcstamp	1.7163415465769285
Spi1	Ctla2a	1.6768720660301586
Spi1	Gm8013	1.629208580823625
Spi1	Zfp366	1.8639465272069788
Spi1	Tg	1.6054154108032757
Spi1	Gm4951	1.5986952369560354
Spi1	6030498E09Rik	1.4881626913659707
Spi1	Klhl6	1.7465332906136748
Spi1	C1qc	1.873221966061811
Spi1	Tm6sf1	1.905323374872613
Spi1	Atp8b4	2.058915051639554
Spi1	Cntn1	1.491541786912097
Spi1	Slc6a20a	1.4948304482289805
Spi1	Cxcl16	1.5716679082985223
Spi1	E330020D12Rik	2.137375473671331
Spi1	Pilrb1	2.0410193801390815
Spi1	Pilrb2	2.125914389089461
Spi1	C3ar1	1.8559515443306989
Spi1	Pkib	1.633302391137006
Spi1	Ptger3	1.4575198231495081
Spi1	Clec4a3	1.9256712326902647
Spi1	P2ry10	1.8625337819128447
Spi1	Hsd3b6	1.4591228763165
Spi1	Tgtp2	1.943152849456208
Spi1	Ifi209	2.0799827021281416
Spi1	Ifi207	2.256423451475839
Spi1	Ndc80	1.5062419258776902
Spi1	Arhgef26	1.4592802110436427
Spi1	Il1rl2	1.7852491972395734
Spi1	Lcp1	1.9589793313645218
Spi1	Myo1f	1.7826335343950124
Spi1	C130050O18Rik	1.6590204729050617
Spi1	Nrgn	1.5513877390415205
Spi1	Pcdha11.1	1.4711688515473273
Spi1	Gm12688	1.677731569515939
Spi1	Pcdha1	1.5171091482928016
Spi1	Pcdha2	1.5397187598766306
Spi1	Pcdha5	1.4924810340216075
Spi1	Lilrb4a	2.1583962649245807
Spi1	Msr1	2.0228086359008506
Spi1	Hist1h2ab	1.6178709346767342
Spi1	Hist1h2ad	1.7782225615481817
Spi1	Car1	1.586670693561281
Spi1	Hist1h2ap	1.5518832707148418
Spi1	Hist1h2ai	1.738846457543799
Spi1	Hist1h2ah	1.7313410681114432
Spi1	Plxna2	1.263584777615864
Spi1	Ect2	1.5208809435103738
Spi1	Grm4	1.4751547523664774
Spi1	E230032D23Rik	1.6560607114500927
Spi1	Lancl3	1.4996907460581106
Nrk	Smc2	1.201962601390874
Nrk	Ccdc60	1.1666360863464407
Nrk	Abcb4	1.2153229484020969
Nrk	Pcnx2	1.3361138114655038
Nrk	Cadm3	1.3881361068583358
Nrk	Gjb1	1.2654351050423642
Nrk	Fgf13	1.3699958385073447
Nrk	Folh1	1.2868408136881841
Nrk	St8sia6	1.1547298623081765
