Regulator	Target	MI	pvalue
Hnf1b	Ttr	1.7469539602026591	4.737510383989729E-7
Irf5	Ifi213	1.800434959551863	9.044750415299063E-4
Lyl1	Tspan33	1.4546928787710047	0.03263817847320993
Hnf1b	Trf	1.3838051071793418	0.03263817847320993
Mafb	Spta1	1.3709331331158652	9.044750415299063E-4
Ikzf1	Itga4	2.22631129303177	1.6986412276764895E-10
Spi1	Bcl2a1b	1.8820749862861985	2.1949162487544527E-5
Spi1	Bcl2a1d	1.8528098483576192	4.737510383989729E-7
Cbfa2t3	Kcnj8	1.6698787978390628	9.044750415299063E-4
Zdhhc14	Ankrd44	1.3281364445651946	9.044750415299063E-4
Tbx5	Upk1b	1.614215815734551	9.044750415299063E-4
Glis3	Hcrtr2	1.6882629039716024	9.229284003708926E-9
Runx2	Slc7a10	1.2750348945976837	9.229284003708926E-9
Zc3h12d	Fam19a3	2.2231270812406456	4.737510383989729E-7
Tcf15	Tnnt3	1.8619786220916363	1.6986412276764895E-10
Myt1l	Tnr	1.9602184060457881	9.229284003708926E-9
Tbx5	Upk3b	1.7544033332610354	1.6986412276764895E-10
Lmo2	Lyve1	1.3531375524636	0.03263817847320993
Ahr	Spon1	1.5254376053439977	0.03263817847320993
Mkx	Soat1	0.788050149951393	2.1949162487544527E-5
Vav1	Gm12962	1.9686068520147708	9.229284003708926E-9
Klf2	H2-Aa	1.7970242283534317	9.229284003708926E-9
Mkx	Thsd7b	1.6667816672152997	4.737510383989729E-7
Ets2	Siglech	1.6392358830077427	9.044750415299063E-4
Runx2	Fa2h	0.9974084090350456	9.044750415299063E-4
Ahr	Zim1	1.716259198700676	2.1949162487544527E-5
St18	Stxbp5l	1.653835995474219	0.03263817847320993
Ikzf1	Itgb2	1.9942764088839324	2.1949162487544527E-5
Egr3	Fcgr4	1.8874233190132483	1.6986412276764895E-10
Ikzf1	Itgal	2.0990495257599853	1.6986412276764895E-10
Ikzf1	Itgam	2.3905070816874865	1.6986412276764895E-10
Rbpj	Mest	1.8048220966454502	2.1949162487544527E-5
Hlf	Hs6st2	2.000916168915533	1.6986412276764895E-10
Irx5	Gm16014	2.303272825079092	4.737510383989729E-7
Ets2	Tgfbr2	1.4886577035086033	9.044750415299063E-4
Lmo2	Hcn1	0.9445471235785035	9.044750415299063E-4
